supported_index,query_id,query_id_s,model_id,model,benchmark_label,result_status,status,native_or_fallback,candidate_count,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,top1_tanimoto,formula_accuracy,failed_prediction_count,missing_candidate_spectra,predicted_spectrum_count,ranked_rows,candidate_spectra_count,claim_guardrail
10,15,15,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,4775,885.0,False,False,False,0.0011299435028248,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
11,16,16,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,103,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
12,17,17,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9564,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
13,18,18,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,6548,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
14,21,21,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,5615,153.0,False,False,False,0.0065359477124183,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
15,22,22,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,6294,5055.0,False,False,False,0.0001978239366963,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
16,23,23,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,5745,5236.0,False,False,False,0.0001909854851031,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
17,24,24,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,5015,318.0,False,False,False,0.0031446540880503,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
18,25,25,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9778,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
19,26,26,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8521,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
20,27,27,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,3327,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
21,29,29,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8062,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
22,31,31,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9668,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
23,34,34,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,457,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
24,35,35,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,233,28.0,False,False,False,0.0357142857142857,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
25,37,37,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8957,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
26,38,38,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9532,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
27,39,39,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,859,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
28,40,40,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7695,2242.0,False,False,False,0.0004460303300624,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
29,41,41,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,5158,1114.0,False,False,False,0.0008976660682226,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
30,42,42,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9484,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
31,43,43,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8937,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
32,46,46,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,960,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
33,48,48,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9066,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
34,50,50,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,1506,981.0,False,False,False,0.001019367991845,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
35,51,51,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,558,49.0,False,False,False,0.0204081632653061,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
36,53,53,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,1206,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
37,54,54,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,6814,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
38,55,55,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9288,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
39,56,56,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9532,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
40,58,58,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,2999,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
41,59,59,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9219,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
42,60,60,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7090,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
43,61,61,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8027,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
44,64,64,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,817,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
45,65,65,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9590,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
46,68,68,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,1511,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
47,69,69,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9556,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
48,70,70,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8926,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
49,71,71,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9485,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
50,74,74,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7251,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
51,75,75,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,4498,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
52,76,76,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,5745,5236.0,False,False,False,0.0001909854851031,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
53,77,77,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8719,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
54,78,78,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,787,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
55,79,79,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7821,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
56,80,80,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7809,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
57,82,82,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,5788,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
58,83,83,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9564,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
59,84,84,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7090,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
60,87,87,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,2560,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
61,88,88,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,6054,708.0,False,False,False,0.001412429378531,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
62,89,89,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9564,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
63,90,90,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,1959,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
64,93,93,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9460,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
65,94,94,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,347,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
66,95,95,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,1877,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
67,96,96,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,6683,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
68,98,98,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9270,5655.0,False,False,False,0.0001768346595932,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
69,99,99,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,6863,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
70,100,100,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,6530,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
71,101,101,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7839,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
72,102,102,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,4859,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
73,104,104,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8559,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
74,105,105,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9237,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
75,106,106,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9491,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
76,107,107,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8301,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
77,108,108,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9739,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
78,109,109,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,4864,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
79,111,111,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,2744,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
80,112,112,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9092,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
81,113,113,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,7164,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
82,114,114,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,689,28.0,False,False,False,0.0357142857142857,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
83,115,115,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,1876,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
84,116,116,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9725,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
85,119,119,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9424,4693.0,False,False,False,0.0002130833155763,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
86,120,120,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9633,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
87,121,121,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9371,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
88,122,122,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,3108,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
89,123,123,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,2103,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
90,126,126,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9036,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
91,127,127,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,1657,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
92,128,128,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9700,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
93,129,129,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,8301,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
94,130,130,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9113,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
95,131,131,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9650,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
96,132,132,fragannotator,FragAnnotator,Frozen fixed evidence-fusion FragAnnotator,completed,completed,formal_fixed_component_score_mode_full_supported_candidate_set,9018,1.0,True,True,True,1.0,,,,,,,,"Primary method for Section 3.2; fixed evidence-fusion configuration, not a trained neural checkpoint claim."
